Review,Confidence,Notes,Group,Level,Code,Practices,Order,Objectives,Identifier
FALSE,,,Audit and Accountability,L2,3.3.1,SYSTEM AUDITING ,a,"Determine if audit logs needed (i.e., event types to be logged) to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity are specified.  ",1
FALSE,,,Audit and Accountability,L2,3.3.1,SYSTEM AUDITING ,b,"Determine if the content of audit records needed to support monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity is defined.  ",2
FALSE,,,Audit and Accountability,L2,3.3.1,SYSTEM AUDITING ,c,Determine if audit records are created (generated).  ,3
FALSE,,,Audit and Accountability,L2,3.3.1,SYSTEM AUDITING ,d,"Determine if audit records, once created, contain the defined content.  ",4
FALSE,,,Audit and Accountability,L2,3.3.1,SYSTEM AUDITING ,e,Determine if retention requirements for audit records are defined.  ,5
FALSE,,,Audit and Accountability,L2,3.3.1,SYSTEM AUDITING ,f,Determine if audit records are retained as defined. ,7
FALSE,,,Audit and Accountability,L2,3.3.3,EVENT REVIEW ,a,Determine if a process for determining when to review logged events is defined.  ,7
FALSE,,,Audit and Accountability,L2,3.3.3,EVENT REVIEW ,b,Determine if event types being logged are reviewed in accordance with the defined review process.  ,8
FALSE,,,Audit and Accountability,L2,3.3.3,EVENT REVIEW ,c,Determine if event types being logged are updated based on the review. ,9
FALSE,,,Audit and Accountability,L2,3.3.4,AUDIT FAILURE ALERTING ,a,Determine if personnel or roles to be alerted in the event of an audit logging process failure are identified.  ,10
FALSE,,,Audit and Accountability,L2,3.3.4,AUDIT FAILURE ALERTING ,b,Determine if types of audit logging process failures for which alert will be generated are defined.  ,11
FALSE,,,Audit and Accountability,L2,3.3.4,AUDIT FAILURE ALERTING ,c,Determine if identified personnel or roles are alerted in the event of an audit logging process failure. ,12
FALSE,,,Audit and Accountability,L2,3.3.5,AUDIT CORRELATION ,a,"Determine if audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity are defined.  ",13
FALSE,,,Audit and Accountability,L2,3.3.5,AUDIT CORRELATION ,b,"Determine if defined audit record review, analysis, and reporting processes are correlated. ",14
FALSE,,,Audit and Accountability,L2,3.3.6,REDUCTION & REPORTING ,a,Determine if an audit record reduction capability that supports on-demand analysis is provided.  ,15
FALSE,,,Audit and Accountability,L2,3.3.6,REDUCTION & REPORTING ,b,Determine if a report generation capability that supports on-demand reporting is provided. ,16
FALSE,,,Audit and Accountability,L2,3.3.7,AUTHORITATIVE TIME SOURCE ,a,Determine if internal system clocks are used to generate time stamps for audit records.  ,17
FALSE,,,Audit and Accountability,L2,3.3.7,AUTHORITATIVE TIME SOURCE ,b,Determine if an authoritative source with which to compare and synchronize internal system clocks is specified.  ,18
